bin,lo,hi,n,p_pred_mean,y_actual
0,0.005336313974112272,7.597712993621826,1256,2.941776752471924,12.984076499938965
1,7.597712993621826,14.818238258361816,1257,11.643360137939453,20.98965835571289
2,14.818238258361816,20.574785232543945,1256,17.844207763671875,28.384553909301758
3,20.574785232543945,24.015348815917967,1257,22.509061813354492,29.964200973510742
4,24.015348815917967,26.96236228942871,1256,25.4218692779541,31.397293090820312
5,26.96236228942871,30.58261108398438,1256,28.65887451171875,35.51273727416992
6,30.58261108398438,34.857017517089844,1257,32.67633819580078,39.12887954711914
7,34.857017517089844,39.423359680175786,1256,37.14198303222656,41.51273727416992
8,39.423359680175786,45.472415161132815,1256,42.16777038574219,45.381370544433594
9,45.472415161132815,100.0,1257,52.12971115112305,50.952266693115234
