genero,n,rmse,mae
forro,162,3.9729983806610107,3.103952407836914
bluegrass,159,8.449594497680664,4.69694709777832
club,157,12.820990562438965,11.058196067810059
anime,157,12.195063591003418,9.36449146270752
j-idol,157,9.59015941619873,6.415146350860596
detroit-techno,156,7.108915328979492,4.388514518737793
french,154,17.52980613708496,13.801161766052246
iranian,152,4.6071391105651855,2.432360887527466
british,152,25.28119468688965,22.60833740234375
dance,152,37.872772216796875,22.377153396606445
