feature,pearson_r,pearson_p,spearman_r,spearman_p,pearson_p_fdr,spearman_p_fdr,pearson_sig,spearman_sig
danceability,0.06599735984811418,4.930015114909917e-87,0.0560443066714009,3.0251137234873383e-63,3.77967825476427e-86,1.7394403910052195e-62,True,True
energy,0.014331329412931202,1.7900535794176582e-05,-0.01530205072614572,4.645933142383885e-06,4.117123232660614e-05,1.526520889640419e-05,True,True
loudness,0.07327118002319936,7.013642095435156e-107,0.06789644030229462,5.15333739667047e-92,8.065688409750429e-106,5.926338006171041e-91,True,True
speechiness,-0.04697799672466564,5.949715397855357e-45,-0.06675841751728548,5.174158516685382e-89,2.7368690830134645e-44,3.9668548627921264e-88,True,True
acousticness,-0.038983088144680274,1.770506303440536e-31,0.010164100208796425,0.002348605238514901,6.786940829855388e-31,0.004431725104662536,True,True
instrumentalness,-0.12868520007798281,0.0,-0.12512661719249457,2.296592797313934e-309,0.0,5.282163433822049e-308,True,True
liveness,-0.014379646109005353,1.6770316337602625e-05,-0.01182863210274472,0.0003994700913077809,4.117123232660614e-05,0.0009187812100078961,True,True
valence,-0.010973175352518492,0.0010221048088807458,-0.010099141617423276,0.0025048881026353462,0.0019590342170214296,0.004431725104662536,True,True
tempo,0.008834969400686411,0.00818460176101873,0.009053239762319525,0.006734605189769555,0.01254972270022872,0.010326394624313319,False,False
duration_ms,-0.023106566019978615,4.622237283880645e-12,0.013202088394223854,7.764422046681165e-05,1.5187351075607834e-11,0.00022322713384208352,True,True
explicit,0.05493989950298466,7.603049079312991e-61,0.04970964209116871,3.985407242638719e-50,4.37175322060497e-60,1.8332873316138108e-49,True,True
mode,-0.01638771601967282,9.334501318834368e-07,-0.015591209446245691,3.0602676854315867e-06,2.683669129164881e-06,1.173102612748775e-05,True,True
key_1,-0.005510211422198906,0.09910279947567031,-0.007906147764299721,0.01796459122814195,0.12663135488557872,0.024305035191015577,False,False
key_2,0.007945434268035387,0.01740181599248933,0.008556988400749593,0.010432520373711052,0.025015110489203414,0.014996748037209639,False,False
key_3,0.0005670990105009673,0.8652203115077493,0.0007558596252615495,0.8210234480905033,0.8652203115077493,0.8210234480905033,False,False
key_4,0.012674828397099595,0.0001484018023138136,0.012632567710899548,0.0001561503716364471,0.0003102946775652466,0.000399050949737587,True,True
key_5,-0.0033186638161444874,0.32057407161029805,-0.0026668803926047494,0.42475515381880574,0.33514562031985706,0.44406220626511506,False,False
key_6,0.0036872250746310398,0.2697709106065266,0.002772227792103332,0.4066917845328583,0.29546337828333863,0.44406220626511506,False,False
key_7,-0.01030971427157099,0.0020301921078092655,-0.009899537946089965,0.003046521458831776,0.003591878344585624,0.005004999539509346,True,True
key_8,0.007434023316967134,0.02607895274880432,0.0072327473717997085,0.030403792341972734,0.0352832890130882,0.03884929021474293,False,False
key_9,-0.005262490196297784,0.11523929338895209,-0.004570586392145998,0.17131716955828913,0.1395001972603104,0.1970147449920325,False,False
key_10,-0.004913192396923995,0.14141895928023954,-0.005384451270921381,0.1070537933272346,0.16263180317227546,0.12959143402770504,False,False
key_11,0.009933268485764292,0.002948076507532124,0.010437860746158113,0.0017832741076731727,0.004843268548088489,0.0037286640433166337,True,True
