artista_principal,n_tracks,mean_popularity,median_popularity,explicit_rate,n_generos_mean,n_artistas_mean,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Сергей Зыков,16,0.0,0.0,0.0,1.0,1.125,0.3560625,0.4018125,-10.406875,0.05273125,0.903,0.0686518725,0.15669375000000002,0.36489375,105.0751875
Amadou & Mariam,7,0.0,0.0,0.0,1.0,1.0,0.651,0.7125714285714285,-8.53,0.038771428571428575,0.2942857142857143,0.029196218571428574,0.15727142857142856,0.6345714285714286,123.30942857142857
Yuri Buenaventura,8,0.0,0.0,0.0,1.0,1.125,0.749625,0.832125,-4.370875,0.04935,0.631375,0.004119365,0.1200125,0.80075,111.94575
Years & Years,10,0.0,0.0,0.2,2.9,1.4,0.5854,0.8507999999999999,-4.285200000000001,0.10643,0.06914000000000001,0.0,0.22583000000000003,0.5431,118.37719999999999
Asef Akbari,12,0.0,0.0,0.0,1.0,1.5,0.2945,0.2735,-16.426916666666667,0.03635,0.87725,0.8088666666666667,0.12175833333333334,0.089025,97.88283333333334
ArtSaves,8,0.0,0.0,0.0,1.0,1.0,0.2503125,0.5064875,-12.855125000000001,0.0938625,0.484170175,0.879,0.146875,0.0627375,118.819125
chloe moriondo,6,0.0,0.0,0.3333333333333333,1.0,1.3333333333333333,0.6875,0.6213333333333333,-5.774,0.0614,0.019213333333333336,2.317e-05,0.15555,0.585,119.48
Zhoobin Askarieh,9,0.0,0.0,0.0,1.0,1.7777777777777777,0.25194444444444447,0.6756,-11.950444444444445,0.11441111111111112,0.43743533333333334,0.6574677777777778,0.19503333333333334,0.15654444444444446,123.5891111111111
Atria,8,0.0,0.0,0.0,1.0,1.0,0.4585,0.87525,-5.01725,0.134575,0.10575947875,0.25617625,0.1931125,0.1997375,131.850625
Ashley McBryde,7,0.0,0.0,0.0,1.0,1.0,0.6294285714285713,0.65,-5.706142857142857,0.046714285714285715,0.22272857142857141,0.0015790157142857141,0.13885714285714285,0.6657142857142857,127.97714285714287
Azooma,5,0.0,0.0,0.8,1.0,1.0,0.2312,0.9046,-6.7774,0.14554,0.008670951999999999,0.7694,0.30978000000000006,0.15622,164.924
Alejandro Fernández,5,0.0,0.0,0.0,2.0,1.4,0.5528000000000001,0.6654,-6.2416,0.051519999999999996,0.4234,2.98e-07,0.08476,0.5382,136.1548
Nat King Cole Trio,14,0.0,0.0,0.0,1.0,1.0,0.6368571428571429,0.14942857142857144,-12.338571428571429,0.05415,0.8718571428571428,1.4250000000000001e-06,0.14118571428571428,0.43785714285714283,113.74621428571429
Najand,33,0.0,0.0,0.0,1.0,1.0,0.23517272727272728,0.8082121212121212,-3.399060606060606,0.0927,0.21654036666666665,0.5966686545454546,0.42824242424242426,0.12942121212121213,107.53248484848486
Nadezhda Kazantseva,6,0.0,0.0,0.0,1.0,1.3333333333333333,0.40349999999999997,0.21783333333333332,-13.049666666666667,0.049833333333333334,0.9838333333333332,0.0017080533333333333,0.2685,0.217,96.98
Augustus Pablo,5,0.0,0.0,0.0,2.0,1.0,0.6125999999999999,0.4542,-13.013,0.10998,0.144074,0.54006,0.16598,0.6768,114.4022
Соня Тимофеева,5,0.0,0.0,0.0,1.0,1.0,0.38380000000000003,0.23784,-15.606,0.05588,0.9178,0.014309104,0.1748,0.43220000000000003,111.56799999999998
