feature,test,p90_mean,p10_mean,p90_median,p10_median,p90_n,p10_n,test_stat,p_value,effect_size,effect_type,is_normal,p_value_fdr,significant_fdr_01,significant_uncorr_01
danceability,Mann-Whitney U,0.6050016348259339,0.5684061138427351,0.6134214285714286,0.5945555555555555,466,467,118886.0,0.014370129990445462,-0.0925917416437676,Rank-biserial,False,0.028740259980890925,False,False
energy,Mann-Whitney U,0.6273056044979218,0.5842810011951819,0.6448240093240093,0.6261176470588236,466,467,117361.5,0.03775945643811263,-0.07858120962035087,Rank-biserial,False,0.06473049675105022,False,False
loudness,Mann-Whitney U,-7.666802517321327,-9.374357704256033,-6.890636842105263,-8.0964,466,467,131063.5,6.418508967396e-08,-0.2045059782558749,Rank-biserial,False,2.5674035869584e-07,True,True
speechiness,Mann-Whitney U,0.08487458910786863,0.08060324081119158,0.06291625,0.0614,466,467,113741.5,0.2309643781763414,-0.04531251435976147,Rank-biserial,False,0.3079525042351219,False,False
acousticness,Mann-Whitney U,0.29720865629847887,0.3565836099214591,0.2361375,0.23298158064516128,466,467,104269.5,0.26987079842168105,0.04173750815634447,Rank-biserial,False,0.32384495810601727,False,False
instrumentalness,Mann-Whitney U,0.07627617383928016,0.20917689571365486,0.0010300824583333334,0.005548687692307692,466,467,91033.5,1.5606144039717063e-05,0.1633796215456158,Rank-biserial,False,4.681843211915119e-05,True,True
liveness,Mann-Whitney U,0.18327308408233692,0.1773493183649054,0.16964722222222223,0.15633333333333332,466,467,121483.0,0.0020777512481240995,-0.11645881390668222,Rank-biserial,False,0.004986602995497838,True,True
valence,Mann-Whitney U,0.4699705217423785,0.4684215349729753,0.4665044642857143,0.4775714285714286,466,467,106868.5,0.6370252772191332,0.01785205539881074,Rank-biserial,False,0.6370252772191332,False,False
tempo,Mann-Whitney U,120.15353885535443,119.25295747725512,120.13348333333334,119.51845,466,467,112673.0,0.34811233839005784,-0.035492735109501794,Rank-biserial,False,0.37975891460733585,False,False
explicit_rate,Mann-Whitney U,0.16307420154742472,0.08582148654388948,0.0,0.0,466,467,126962.0,4.080311071195819e-08,-0.16681217891573463,Rank-biserial,False,2.4481866427174915e-07,True,True
n_generos_mean,Mann-Whitney U,1.395510654230733,1.351558061782872,1.1846590909090908,1.0,466,467,138344.0,2.005218248965875e-15,-0.2714155737930908,Rank-biserial,False,2.40626189875905e-14,True,True
n_artistas_mean,Mann-Whitney U,1.457633501439936,1.4217641959396026,1.2,1.15,466,467,114669.0,0.1433268412632278,-0.053836468739373755,Rank-biserial,False,0.21499026189484172,False,False
