artista_principal,n_tracks,mean_popularity,median_popularity,explicit_rate,n_generos_mean,n_artistas_mean,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Olivia Rodrigo,5,87.4,88.0,0.8,1.0,1.0,0.46820000000000006,0.49779999999999996,-7.736199999999999,0.09812000000000001,0.6285999999999999,5.914e-06,0.15295999999999998,0.28518,152.2502
One Direction,5,83.0,83.0,0.0,1.0,1.0,0.6528,0.6881999999999999,-5.5326,0.04566,0.24126599999999998,0.0,0.09466,0.5368,116.2782
Lil Nas X,8,82.75,82.0,0.75,1.375,1.375,0.729875,0.6395,-6.1705,0.1244,0.112205,2.7875e-07,0.15481250000000002,0.65675,144.946625
Eminem,11,82.72727272727273,83.0,1.0,1.0,1.4545454545454546,0.7766363636363636,0.7900909090909092,-3.780818181818182,0.18973636363636362,0.13544272727272727,6.021272727272727e-05,0.3487272727272727,0.5362363636363636,129.21336363636362
Måneskin,5,82.6,83.0,0.4,2.4,1.0,0.6487999999999999,0.7636000000000001,-4.069,0.04796,0.026636000000000003,0.0,0.23084,0.6454,124.0554
Drake,5,81.8,84.0,0.6,1.2,2.2,0.7058,0.5634,-6.7324,0.13108,0.0201114,0.000927062,0.3014,0.36239999999999994,123.7868
Rauw Alejandro,8,81.0,82.5,0.75,1.125,2.125,0.82325,0.728,-3.16875,0.064225,0.29065874999999997,0.00500936375,0.1456125,0.440375,105.130875
Bad Bunny,42,80.61904761904762,83.0,0.4523809523809524,2.5476190476190474,1.619047619047619,0.7721428571428571,0.6570952380952381,-5.865642857142857,0.11394761904761905,0.19159047619047617,0.00026992761904761904,0.18057857142857142,0.4500238095238095,116.24333333333334
Ariana Grande,14,80.14285714285714,80.0,0.6428571428571429,1.2142857142857142,1.3571428571428572,0.6605714285714285,0.6461428571428571,-5.829428571428571,0.12558571428571427,0.157955,4.761428571428572e-06,0.17332857142857144,0.4350714285714286,136.7787142857143
Camila Cabello,5,79.8,80.0,0.0,1.2,1.8,0.7276,0.6242,-5.4887999999999995,0.0429,0.1494,0.0001371,0.20474,0.5864,105.98980000000002
Mitski,6,78.33333333333333,78.0,0.0,1.5,1.0,0.48100000000000004,0.6101666666666666,-6.928999999999999,0.029766666666666667,0.022135833333333337,0.08664606666666667,0.22033333333333335,0.443,113.21666666666665
Shubh,5,77.8,79.0,0.4,1.0,1.2,0.7856,0.5144,-9.4662,0.15202,0.153334,0.0036049999999999997,0.15824,0.5858000000000001,131.05519999999999
Clairo,7,75.28571428571429,75.0,0.0,1.5714285714285714,1.1428571428571428,0.7342857142857142,0.4688142857142857,-11.199142857142858,0.062099999999999995,0.585,0.06092531428571429,0.1689857142857143,0.4622,121.14285714285714
Dr. Dre,7,75.28571428571429,75.0,1.0,1.1428571428571428,2.4285714285714284,0.7701428571428571,0.8465714285714286,-3.1957142857142853,0.23234285714285716,0.09776028571428572,5.274285714285715e-05,0.14684285714285714,0.522,111.77785714285713
Maluma,11,74.81818181818181,75.0,0.09090909090909091,2.727272727272727,1.2727272727272727,0.7837272727272727,0.7488181818181818,-4.061909090909091,0.22632727272727274,0.20017272727272728,8.540909090909091e-06,0.15789090909090908,0.6873636363636364,143.63381818181819
Rvfv,5,74.6,76.0,0.4,1.0,1.8,0.74,0.6264000000000001,-5.5342,0.15052000000000001,0.3746,0.000319412,0.11661999999999999,0.532,125.902
Labrinth,9,74.44444444444444,75.0,0.2222222222222222,1.7777777777777777,1.2222222222222223,0.5267777777777778,0.6194444444444445,-7.361,0.11069999999999999,0.2471111111111111,0.06957410888888887,0.1967888888888889,0.37766666666666665,105.68822222222222
Frank Ocean,20,74.25,73.5,0.6,1.0,1.2,0.61505,0.41824000000000006,-9.34845,0.11678999999999999,0.516968,0.000661987,0.211655,0.42105,117.27685000000001
Travis Scott,19,74.10526315789474,74.0,0.8947368421052632,1.2105263157894737,1.4210526315789473,0.7252631578947368,0.6234736842105263,-5.717368421052631,0.08609473684210527,0.09710736842105264,1.137315789473684e-05,0.16638421052631577,0.32031052631578943,138.66473684210527
Limp Bizkit,6,73.83333333333333,74.0,0.6666666666666666,2.0,1.0,0.5339999999999999,0.8251666666666667,-5.376833333333334,0.08371666666666666,0.09254833333333333,0.06313811333333334,0.3309166666666667,0.47136666666666666,103.722
Radiohead,11,73.54545454545455,72.0,0.09090909090909091,1.8181818181818181,1.0,0.38472727272727275,0.4678181818181818,-9.771727272727274,0.03583636363636364,0.24184545454545453,0.21683692727272727,0.11706363636363637,0.25418181818181823,112.59227272727271
The Neighbourhood,27,73.48148148148148,71.0,0.07407407407407407,2.2222222222222223,1.0740740740740742,0.5422222222222223,0.6579999999999999,-6.537592592592592,0.039344444444444446,0.0701976851851852,0.11560962037037037,0.24075555555555556,0.35649629629629626,108.53162962962962
George Ezra,8,73.375,74.5,0.0,2.875,1.0,0.64775,0.6753750000000001,-5.559875,0.0399875,0.263575,0.000106625,0.17225000000000001,0.576625,115.91875
Sleepy Hallow,6,73.33333333333333,73.5,1.0,1.0,1.6666666666666667,0.8403333333333333,0.5006666666666667,-7.243666666666667,0.35400000000000004,0.5468333333333333,2.0333333333333333e-07,0.14216666666666666,0.7160000000000001,122.46233333333333
Kane Brown,6,73.33333333333333,72.5,0.0,1.0,1.8333333333333333,0.6285,0.6968333333333333,-6.571166666666667,0.043550000000000005,0.23561999999999997,4.3e-06,0.1678333333333333,0.5493333333333333,112.37933333333332
aespa,7,73.14285714285714,74.0,0.0,1.0,1.0,0.6584285714285715,0.8365714285714285,-2.2977142857142856,0.15451428571428574,0.17722857142857143,0.00022752,0.1911857142857143,0.6247142857142858,110.03985714285714
Stray Kids,22,73.0909090909091,73.5,0.0,1.0,1.0,0.7209545454545455,0.8275454545454545,-3.276409090909091,0.14267272727272726,0.0866640909090909,5.236363636363636e-07,0.16468636363636363,0.6024545454545455,123.74159090909092
System Of A Down,12,72.75,71.5,0.25,1.4166666666666667,1.0,0.4271666666666667,0.8731666666666666,-3.5734999999999997,0.092625,0.057568916666666664,0.0048303425,0.26280833333333337,0.37860833333333327,119.9495
Ashe,6,72.5,73.5,1.0,1.0,1.6666666666666667,0.529,0.42533333333333334,-8.152833333333334,0.03855,0.5008333333333334,1.495e-06,0.12985,0.25933333333333336,113.15233333333333
TWICE,17,72.47058823529412,72.0,0.0,1.0,1.0,0.704,0.8701764705882352,-2.8079411764705884,0.0835529411764706,0.10510588235294117,0.0001452570588235294,0.20293529411764705,0.6503529411764706,133.05629411764704
2Pac,14,72.42857142857143,71.5,1.0,1.0,1.5,0.8122142857142858,0.7507142857142857,-5.177642857142857,0.19245714285714285,0.08594714285714286,0.0004229942857142858,0.2,0.6534285714285714,98.20914285714285
Bob Marley & The Wailers,8,72.25,73.0,0.0,1.0,1.0,0.827625,0.481,-9.728125,0.1669375,0.1953075,2.8931250000000002e-05,0.0823625,0.7338749999999999,114.499375
ITZY,7,72.14285714285714,72.0,0.0,1.0,1.0,0.823857142857143,0.8551428571428571,-3.9001428571428574,0.10312857142857143,0.08698714285714286,0.00016942142857142854,0.20447142857142858,0.6545714285714286,120.30371428571428
SEVENTEEN,14,71.42857142857143,70.0,0.0,1.0,1.0,0.7022142857142857,0.7502857142857142,-4.4459285714285715,0.08156428571428571,0.2176857142857143,2.9357142857142854e-07,0.21052142857142858,0.6877142857142857,113.34442857142858
Eagles,8,71.25,69.5,0.0,3.375,1.0,0.570125,0.5065,-10.310125,0.0371625,0.36483,0.01013784375,0.21556250000000002,0.6005,105.892875
MARINA,6,70.83333333333333,71.5,0.16666666666666666,1.5,1.0,0.6533333333333333,0.8013333333333333,-4.503333333333333,0.03971666666666667,0.1317865,1.6833333333333332e-06,0.13028333333333333,0.6621666666666667,129.0145
Sigala,5,70.6,73.0,0.0,1.6,1.8,0.6714,0.8718,-3.0362,0.07206000000000001,0.09519999999999999,7.44e-07,0.11032,0.5671999999999999,117.843
