index,mean,sd,ci_3%,ci_97%,ess_bulk,ess_tail,model
mu_alpha,5.9875263646909245,0.0,5.88317099755785,6.091743902075204,0.0,0.0,gaussian
sigma_alpha,24.763443941674677,0.0,24.67723595545265,24.847847592794857,0.0,0.0,gaussian
mu_beta['danceability'],0.7367714189401704,0.05343718469126213,0.6370750533264322,0.838915417854648,0.0,0.0,gaussian
mu_beta['energy'],-0.6730673000048852,0.055922215480123084,-0.7742033885216257,-0.5645454953482529,0.0,0.0,gaussian
mu_beta['loudness'],0.5954136672250223,0.056613666929014324,0.49072531913365236,0.6996074864593497,0.0,0.0,gaussian
mu_beta['speechiness'],-0.34311897316993056,0.05103373475794496,-0.4364356867455458,-0.24668962256831942,0.0,0.0,gaussian
mu_beta['acousticness'],-0.3930313777406069,0.05562715399745987,-0.501860217167642,-0.28696981628035506,0.0,0.0,gaussian
mu_beta['instrumentalness'],0.010309076108777645,0.053927417539463625,-0.09163215200085757,0.11088336651148652,0.0,0.0,gaussian
mu_beta['liveness'],-0.3167585661725618,0.05517168230078185,-0.4198347183138622,-0.21559991828107428,0.0,0.0,gaussian
mu_beta['valence'],-1.141131616438532,0.05806819557482679,-1.254865301550983,-1.0364370028538723,0.0,0.0,gaussian
mu_beta['tempo'],0.12315933005169204,0.059589140247053314,0.011199040221950408,0.23582466669044802,0.0,0.0,gaussian
mu_beta['explicit'],0.7987867433581994,0.052587079166775894,0.6992606693818598,0.8989013318586269,0.0,0.0,gaussian
sigma_beta['danceability'],2.1541052359048516,0.0,2.0466374953747564,2.2650659449308503,0.0,0.0,gaussian
sigma_beta['energy'],2.510464064663576,0.0,2.412598661884762,2.6183748585128614,0.0,0.0,gaussian
sigma_beta['loudness'],3.313237804070809,0.0,3.169509995116497,3.4525153798306243,0.0,0.0,gaussian
sigma_beta['speechiness'],1.2491743357482654,0.0,1.1527311555554987,1.3547108819594653,0.0,0.0,gaussian
sigma_beta['acousticness'],2.3350639038250445,0.0,2.222081399951249,2.450254459970868,0.0,0.0,gaussian
sigma_beta['instrumentalness'],1.700335787176773,0.0,1.579101169561965,1.8239225437302313,0.0,0.0,gaussian
sigma_beta['liveness'],0.9219980296973579,0.0,0.8105626027015489,1.0489930363589814,0.0,0.0,gaussian
sigma_beta['valence'],1.7488118583756689,0.0,1.6362064092796509,1.8699808049721196,0.0,0.0,gaussian
sigma_beta['tempo'],0.48976544403291583,0.0,0.37831564963539166,0.612909406115567,0.0,0.0,gaussian
sigma_beta['explicit'],1.7945705922011628,0.0,1.70708651269954,1.8854877041050513,0.0,0.0,gaussian
mu_alpha,-1.473717069758152,0.0,-1.4912284606491757,-1.4565026917131187,0.0,0.0,bernoulli
sigma_alpha,1.8206796167176795,0.0,1.796784704451408,1.8456533434996765,0.0,0.0,bernoulli
mu_beta['danceability'],0.10242433100129299,0.010564146065690854,0.08232931283504352,0.12226496092828722,0.0,0.0,bernoulli
mu_beta['energy'],-0.1337031692496616,0.01065706228600569,-0.15355467292508546,-0.11405505138952482,0.0,0.0,bernoulli
mu_beta['loudness'],0.22417380051564512,0.009243961005380321,0.2070396902694595,0.24091862735049305,0.0,0.0,bernoulli
mu_beta['speechiness'],-0.08056508902629657,0.01011300124568585,-0.09916200733139284,-0.06149802938398502,0.0,0.0,bernoulli
mu_beta['acousticness'],-0.12006134951966559,0.01021593147406201,-0.1389693317958154,-0.10062753849325035,0.0,0.0,bernoulli
mu_beta['instrumentalness'],-0.01335652027701101,0.010359936538045343,-0.033197993395769745,0.005431151076508109,0.0,0.0,bernoulli
mu_beta['liveness'],-0.111540786276847,0.010115992101583135,-0.1300208253175076,-0.09241694171094465,0.0,0.0,bernoulli
mu_beta['valence'],-0.1455021093720569,0.010133578167932148,-0.16474447378042106,-0.12670449577074394,0.0,0.0,bernoulli
mu_beta['tempo'],0.015270624445952837,0.009357942209273008,-0.001974107427143321,0.033347392586052405,0.0,0.0,bernoulli
mu_beta['explicit'],0.09307461891014696,0.00843469775303487,0.07705613532583318,0.10894574103904404,0.0,0.0,bernoulli
sigma_beta['danceability'],0.25642513022559577,0.0,0.23768570957389695,0.2771266263414591,0.0,0.0,bernoulli
sigma_beta['energy'],0.2378928310914983,0.0,0.21862958271149935,0.25776202038688084,0.0,0.0,bernoulli
sigma_beta['loudness'],0.4168121512607085,0.0,0.4035249384223537,0.43059414361106757,0.0,0.0,bernoulli
sigma_beta['speechiness'],0.18049251749338008,0.0,0.16379472423499952,0.19702243906812286,0.0,0.0,bernoulli
sigma_beta['acousticness'],0.3163446145597742,0.0,0.2982014810454236,0.3352561494637191,0.0,0.0,bernoulli
sigma_beta['instrumentalness'],0.33378099919618104,0.0,0.3137264047981003,0.35469387274339026,0.0,0.0,bernoulli
sigma_beta['liveness'],0.12322488761232055,0.0,0.10587713873914276,0.1418963688347043,0.0,0.0,bernoulli
sigma_beta['valence'],0.2154630624600796,0.0,0.1974328403126815,0.23567093593986888,0.0,0.0,bernoulli
sigma_beta['tempo'],0.045783338557090485,0.0,0.03198167062341927,0.06360231657079927,0.0,0.0,bernoulli
sigma_beta['explicit'],0.2023440806067074,0.0,0.1877538631552161,0.21806711750547758,0.0,0.0,bernoulli
