index,mean,sd,ci_3%,ci_97%,ess_bulk,ess_tail,model
alpha_g['acoustic'],39.96547678045338,0.0,38.95322406952122,41.01636365331316,0.0,0.0,gaussian
"beta_g['acoustic','danceability']",1.8526675931433865,0.6791434618586707,0.6051660554799553,3.1475324651344883,0.0,0.0,gaussian
"beta_g['acoustic','energy']",-1.2844572459533148,0.39189336203323516,-1.9793626140000464,-0.5178393895601733,0.0,0.0,gaussian
"beta_g['acoustic','loudness']",-0.8450981010940586,0.6410122169671386,-2.0556046633689835,0.3129056165751037,0.0,0.0,gaussian
"beta_g['acoustic','speechiness']",-1.0163260268495262,0.7507413322543957,-2.4191688370170255,0.40173860574964415,0.0,0.0,gaussian
"beta_g['acoustic','acousticness']",0.08341800407220415,0.415869823170401,-0.7116884803563108,0.8617657853904142,0.0,0.0,gaussian
"beta_g['acoustic','instrumentalness']",-0.49963374146619094,0.7276259622865914,-1.9065465357532796,0.8085122738345148,0.0,0.0,gaussian
"beta_g['acoustic','liveness']",-0.04743083323393143,0.6279176145392376,-1.240662896891061,1.1920515110094452,0.0,0.0,gaussian
"beta_g['acoustic','valence']",-2.533345274844313,0.5688681764466504,-3.6044388458875742,-1.4738995378434239,0.0,0.0,gaussian
"beta_g['acoustic','tempo']",0.21179960754043703,0.3367912291048054,-0.42702138659350786,0.8276054183274267,0.0,0.0,gaussian
"beta_g['acoustic','explicit']",-1.8099401237092503,0.6398021353442825,-2.988496711996185,-0.6115620290714826,0.0,0.0,gaussian
alpha_g['afrobeat'],25.80662736959884,0.0,24.86080978118511,26.779468375313378,0.0,0.0,gaussian
"beta_g['afrobeat','danceability']",-0.06535911686860268,0.541195689208134,-1.0945264808571322,0.9378252510576852,0.0,0.0,gaussian
"beta_g['afrobeat','energy']",-1.4239544288871826,0.6871850003521589,-2.6970984819728407,-0.12348144377503091,0.0,0.0,gaussian
"beta_g['afrobeat','loudness']",2.4866144422627703,0.8561474061878384,0.8840709741264443,4.071791973249217,0.0,0.0,gaussian
"beta_g['afrobeat','speechiness']",0.2645648475095318,0.45737492763180504,-0.5796004784319845,1.143394369482979,0.0,0.0,gaussian
"beta_g['afrobeat','acousticness']",0.22687152325420154,0.6733576387770724,-1.0544985712427426,1.4653054624510182,0.0,0.0,gaussian
"beta_g['afrobeat','instrumentalness']",-0.5156925328488544,0.4219433435073008,-1.3150061695652733,0.29579599535238227,0.0,0.0,gaussian
