feature,sigma_beta_baseline,sigma_beta_extended,abs_delta_sigma
danceability,1.5882403126065268,1.5600244750408572,0.028215837565669588
acousticness,1.969505960112443,1.9415163945016047,0.027989565610838207
explicit,4.226437629897632,4.208120105604914,0.01831752429271738
tempo,0.34036952823946864,0.35729838581950973,0.01692885758004109
loudness,3.517203317539353,3.5019139594324096,0.015289358106943318
valence,1.4170075715009274,1.4063864572092257,0.01062111429170165
speechiness,1.272586286176797,1.2665697477274547,0.006016538449342246
liveness,0.6590942326810899,0.656389463577922,0.002704769103167859
energy,2.501365328487418,2.501964693514103,0.0005993650266851169
instrumentalness,2.0365186439956133,2.036760320832566,0.0002416768369526423
