bin,lo,hi,n,p_pred_mean,y_actual
0,0.0068949563428759575,7.598371982574463,1256,2.9429566860198975,12.984076499938965
1,7.598371982574463,14.789884948730469,1257,11.641156196594238,20.957836151123047
2,14.789884948730469,20.568190574645996,1256,17.830869674682617,28.38136863708496
3,20.568190574645996,24.003582000732422,1257,22.510530471801758,29.946699142456055
4,24.003582000732422,26.959489822387695,1256,25.412282943725586,31.355892181396484
5,26.959489822387695,30.54761581420899,1256,28.66421890258789,35.596336364746094
6,30.54761581420899,34.81586112976074,1257,32.66304016113281,39.05727767944336
7,34.81586112976074,39.39757843017579,1256,37.12832260131836,41.54777145385742
8,39.39757843017579,45.448619842529304,1256,42.14234161376953,45.45461654663086
9,45.448619842529304,100.0,1257,52.160701751708984,50.9260139465332
