genero,n,rmse,mae
forro,162,4.023683071136475,3.146993637084961
bluegrass,159,8.45673942565918,4.693090438842773
club,157,12.819477081298828,11.052719116210938
anime,157,12.194925308227539,9.368106842041016
j-idol,157,9.568766593933105,6.416383743286133
detroit-techno,156,7.110544204711914,4.386866092681885
french,154,17.53896141052246,13.800661087036133
iranian,152,4.607538223266602,2.4320566654205322
british,152,25.276851654052734,22.609506607055664
dance,152,37.876766204833984,22.375102996826172
